id,utc_created,utc_updated,country,country_code,indicator_code,indicator,value,year
1,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Afghanistan,AFG,138806,"IHDI: Inequality-adjusted HDI value",0.321,2013
2,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Angola,AGO,138806,"IHDI: Inequality-adjusted HDI value",0.295,2013
3,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Albania,ALB,138806,"IHDI: Inequality-adjusted HDI value",0.62,2013
4,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Argentina,ARG,138806,"IHDI: Inequality-adjusted HDI value",0.68,2013
5,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Armenia,ARM,138806,"IHDI: Inequality-adjusted HDI value",0.655,2013
6,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Australia,AUS,138806,"IHDI: Inequality-adjusted HDI value",0.86,2013
7,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Austria,AUT,138806,"IHDI: Inequality-adjusted HDI value",0.818,2013
8,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Azerbaijan,AZE,138806,"IHDI: Inequality-adjusted HDI value",0.659,2013
9,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Burundi,BDI,138806,"IHDI: Inequality-adjusted HDI value",0.257,2013
10,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Belgium,BEL,138806,"IHDI: Inequality-adjusted HDI value",0.806,2013
11,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Benin,BEN,138806,"IHDI: Inequality-adjusted HDI value",0.311,2013
12,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Burkina Faso",BFA,138806,"IHDI: Inequality-adjusted HDI value",0.252,2013
13,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bangladesh,BGD,138806,"IHDI: Inequality-adjusted HDI value",0.396,2013
14,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bulgaria,BGR,138806,"IHDI: Inequality-adjusted HDI value",0.692,2013
15,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bahamas,BHS,138806,"IHDI: Inequality-adjusted HDI value",0.676,2013
16,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Bosnia and Herzegovina",BIH,138806,"IHDI: Inequality-adjusted HDI value",0.651,2013
17,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Belarus,BLR,138806,"IHDI: Inequality-adjusted HDI value",0.726,2013
18,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Bolivia (Plurinational State of)",BOL,138806,"IHDI: Inequality-adjusted HDI value",0.47,2013
19,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Brazil,BRA,138806,"IHDI: Inequality-adjusted HDI value",0.542,2013
20,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Bhutan,BTN,138806,"IHDI: Inequality-adjusted HDI value",0.465,2013
21,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Botswana,BWA,138806,"IHDI: Inequality-adjusted HDI value",0.422,2013
22,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Central African Republic",CAF,138806,"IHDI: Inequality-adjusted HDI value",0.203,2013
23,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Canada,CAN,138806,"IHDI: Inequality-adjusted HDI value",0.833,2013
24,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Switzerland,CHE,138806,"IHDI: Inequality-adjusted HDI value",0.847,2013
25,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Chile,CHL,138806,"IHDI: Inequality-adjusted HDI value",0.661,2013
26,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Côte d'Ivoire",CIV,138806,"IHDI: Inequality-adjusted HDI value",0.606,2013
27,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Cameroon,CMR,138806,"IHDI: Inequality-adjusted HDI value",0.339,2013
28,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Congo (Democratic Republic of the)",COD,138806,"IHDI: Inequality-adjusted HDI value",0.211,2013
29,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Congo,COG,138806,"IHDI: Inequality-adjusted HDI value",0.391,2013
30,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Colombia,COL,138806,"IHDI: Inequality-adjusted HDI value",0.521,2013
31,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Cape Verde",CPV,138806,"IHDI: Inequality-adjusted HDI value",0.511,2013
32,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Costa Rica",CRI,138806,"IHDI: Inequality-adjusted HDI value",0.611,2013
33,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Cyprus,CYP,138806,"IHDI: Inequality-adjusted HDI value",0.752,2013
34,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139","Czech Republic",CZE,138806,"IHDI: Inequality-adjusted HDI value",0.813,2013
35,"2016-01-07 10:10:52.689964","2016-01-07 10:10:52.690139",Germany,DEU,138806,"IHDI: Inequality-adjusted HDI value",0.846,2013
